number,real_comment,translated_comment
1,ふみ先生、メリークリスマス🎅🏼🥧🍰<br>フライドチキンは美味しそうですね。 これはやっぱりおいしいビールが合うと思います🍻😁<br><br>時間が過ぎるのは早いですよね! あっという間の1年でした。あと1週間2025年になります。先生のチャンネルを見つけてから三年半が経ちました。この間、動画を通して美しい景色を見たり、日本の文化と生活について学んだりすることができ、とても役に立ちました。そして、素敵なお声を聞きながら、シャドーイングの練習をしていて、それは自分の発音を改善するために確かに良い方法ですね🤗 ふみ先生のおかげで、日本語を勉強するだけでなく、本当に楽しんでいますね！いつもすばらしい動画を作っていただき、大変ありがとうございました🙇🏻<br><br>さて、「機会は努力する者を訪れ、怠ける者からは去っていく。」この言葉は私の2024年のカレンダーの月間標語から学びました。本当にその通りだと思っています。先月、先生のチャンネル登録者数は30万人を超えて、おめでとうございます✨🎊この数字を見て本当にうれしかったです。めっちゃすごいね👍👏先生のチャンネルは日本語を勉強している私たちにとって欠かせない存在です。私の場合は間違いなくこれを勉強し続けます。次の3つのことわざはいつもわたしの心の中で覚えて、やっていることです。<br><br>1) 「塵も積もれば山となる」一日一日少しずつ勉強しています。<br><br>2) 「継続は力なり」ずっと続けたいと思っている学習です。<br><br>3) 「習うより慣れろ」毎日、日本に関するニュースなどを読むとか、テレビを見るとかが続いています。そして、同僚はみんな日本語を勉強しているので、日本語の会話を練習する機会でもあります。<br><br>来年もよろしくお願い致します🙏🏻<br>お互いに頑張りましょう💪🏻<br><br>健康で幸せでありますように❣️<br>良いお年をお迎えください🌈,ふみ先生、メリークリスマス🎅🏼🥧🍰<br>フライドチキンは美味しそうですね。 これはやっぱりおいしいビールが合うと思います🍻😁<br><br>時間が過ぎるのは早いですよね! あっという間の1年でした。あと1週間2025年になります。先生のチャンネルを見つけてから三年半が経ちました。この間、動画を通して美しい景色を見たり、日本の文化と生活について学んだりすることができ、とても役に立ちました。そして、素敵なお声を聞きながら、シャドーイングの練習をしていて、それは自分の発音を改善するために確かに良い方法ですね🤗 ふみ先生のおかげで、日本語を勉強するだけでなく、本当に楽しんでいますね！いつもすばらしい動画を作っていただき、大変ありがとうございました🙇🏻<br><br>さて、「機会は努力する者を訪れ、怠ける者からは去っていく。」この言葉は私の2024年のカレンダーの月間標語から学びました。本当にその通りだと思っています。先月、先生のチャンネル登録者数は30万人を超えて、おめでとうございます✨🎊この数字を見て本当にうれしかったです。めっちゃすごいね👍👏先生のチャンネルは日本語を勉強している私たちにとって欠かせない存在です。私の場合は間違いなくこれを勉強し続けます。次の3つのことわざはいつもわたしの心の中で覚えて、やっていることです。<br><br>1) 「塵も積もれば山となる」一日一日少しずつ勉強しています。<br><br>2) 「継続は力なり」ずっと続けたいと思っている学習です。<br><br>3) 「習うより慣れろ」毎日、日本に関するニュースなどを読むとか、テレビを見るとかが続いています。そして、同僚はみんな日本語を勉強しているので、日本語の会話を練習する機会でもあります。<br><br>来年もよろしくお願い致します🙏🏻<br>お互いに頑張りましょう💪🏻<br><br>健康で幸せでありますように❣️<br>良いお年をお迎えください🌈
2,"ゆっくり話していただけると助かります, ありがとうございました、インドネシアからのご挨拶","ゆっくり話していただけると助かります, ありがとうございました、インドネシアからのご挨拶"
3,I understand only a few words but this is great to learn new words and pronounciation! I really like this,I understand only a few words but this is great to learn new words and pronounciation! I really like this
4,すごいですね、エヤドさん！😊✨<br>とても上手です！👏<br>でも、日本語では「、」はあまり使いません。<br>もっと自然に言うと：<br>👉 私は日本語を話します。私の名前はエヤドです。<br>または<br>👉 日本語を話します。エヤドです。（もっと自然です 😊）<br>とてもいいですよ！🇯🇵✨<br>じゃあ、質問です：<br>日本語は好きですか？ 😊,すごいですね、エヤドさん！😊✨<br>とても上手です！👏<br>でも、日本語では「、」はあまり使いません。<br>もっと自然に言うと：<br>👉 私は日本語を話します。私の名前はエヤドです。<br>または<br>👉 日本語を話します。エヤドです。（もっと自然です 😊）<br>とてもいいですよ！🇯🇵✨<br>じゃあ、質問です：<br>日本語は好きですか？ 😊
5,こんにちは、よろしくお願いします,こんにちは、よろしくお願いします
6,I&#39;ve been trying to self study japanese for a little while and im getting addicted to these kinds of vlogs. Much love from Ireland &lt;3,I&#39;ve been trying to self study japanese for a little while and im getting addicted to these kinds of vlogs. Much love from Ireland &lt;3
7,i&#39;m from indonesia,i&#39;m from indonesia
8,"I lived in Fukuoka for a semester and thanks to this, I obtained the JLPT3 recently. <br>Now, I&#39;m preparing for the N2!","I lived in Fukuoka for a semester and thanks to this, I obtained the JLPT3 recently. <br>Now, I&#39;m preparing for the N2!"
9,あなたの動画を見て、とても感動しました。声がとても素敵ですね。私はバングラデシュ人です。ぜひお話ししたいです。どうか、断らないでください。,あなたの動画を見て、とても感動しました。声がとても素敵ですね。私はバングラデシュ人です。ぜひお話ししたいです。どうか、断らないでください。
10,This is super helpful for me studying and learning Japanese heheh,This is super helpful for me studying and learning Japanese heheh
